class,name,price,etl_date,brand,module_Spec,capacity,capacity_value,capacity_unit
記憶體 RAM,威剛 NB 16GB DDR5-5600/CL46 (AD5S560016G-S),1350,2024-03-03,威剛,DDR5,16GB,16,GB
記憶體 RAM,威剛 NB 32GB DDR5-5600/CL46 (AD5S560032G-S),2699,2024-03-03,威剛,DDR5,32GB,32,GB
記憶體 RAM,金士頓 NB 8GB DDR5 4800(KVR48S40BS6-8)/CL40,930,2024-03-03,金士頓,DDR5,8GB,8,GB
記憶體 RAM,金士頓 NB 16GB DDR5 4800(KVR48S40BS8-16)/CL40,1450,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 NB 16GB DDR5 5600(KVR56S46BS8-16)/CL46,1550,2024-03-03,金士頓,DDR5,16GB,16,GB
記憶體 RAM,金士頓 NB 32GB DDR5 4800(KVR48S40BD8-32)/CL40,2650,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,金士頓 NB 32GB DDR5 5600(KVR56S46BD8-32)/CL46~加送斜背胸包~,2750,2024-03-03,金士頓,DDR5,32GB,32,GB
記憶體 RAM,美光Micron Crucial NB 8GB DDR5 4800/CL40,729,2024-03-03,美光Micron,DDR5,8GB,8,GB
記憶體 RAM,美光Micron Crucial NB 16GB DDR5 4800/CL40,1288,2024-03-03,美光Micron,DDR5,16GB,16,GB
記憶體 RAM,美光Micron Crucial NB 16GB DDR5 5600/CL46,1399,2024-03-03,美光Micron,DDR5,16GB,16,GB
記憶體 RAM,美光Micron Crucial NB 32GB DDR5 4800/CL40,2699,2024-03-03,美光Micron,DDR5,32GB,32,GB
記憶體 RAM,美光Micron Crucial NB 32GB DDR5 5600/CL46,2799,2024-03-03,美光Micron,DDR5,32GB,32,GB
記憶體 RAM,美光Micron Crucial NB 雙通16G*2 DDR5 4800/CL40,2699,2024-03-03,美光Micron,DDR5,Unknown,-1,Unknown
記憶體 RAM,美光Micron Crucial NB 雙通32G*2 DDR5 4800/CL40,5399,2024-03-03,美光Micron,DDR5,Unknown,-1,Unknown
記憶體 RAM,美光Micron Crucial NB 雙通16G*2 DDR5 5600/CL46,2799,2024-03-03,美光Micron,DDR5,Unknown,-1,Unknown
記憶體 RAM,美光Micron Crucial NB 雙通32G*2 DDR5 5600/CL46,5599,2024-03-03,美光Micron,DDR5,Unknown,-1,Unknown
記憶體 RAM,KLEVV(科賦) 8GB DDR4-3200(1024*8),509,2024-03-03,KLEVV,DDR4,8GB,8,GB
記憶體 RAM,KLEVV(科賦) 16GB DDR4-3200(2048*8),930,2024-03-03,KLEVV,DDR4,16GB,16,GB
記憶體 RAM,KLEVV(科賦) 32GB DDR4-3200(2048*8),1899,2024-03-03,KLEVV,DDR4,32GB,32,GB
記憶體 RAM,KLEVV(科賦) 16GB(雙通8GB*2) DDR4 3200 BOLT X系列 黑散熱片/CL16(1024*8),1159,2024-03-03,KLEVV,DDR4,16GB,16,GB
記憶體 RAM,KLEVV(科賦) 16GB(雙通8GB*2) DDR4 3600 BOLT XR系列 黑散熱片/CL18(1024*8),1199,2024-03-03,KLEVV,DDR4,16GB,16,GB
記憶體 RAM,KLEVV(科賦) 32GB(雙通16GB*2) DDR4 3200 BOLT X系列 黑散熱片/CL16(2048*8),1999,2024-03-03,KLEVV,DDR4,32GB,32,GB
記憶體 RAM,KLEVV(科賦) 32GB(雙通16GB*2) DDR4 3600 BOLT XR系列 黑散熱片/CL18(2048*8),2199,2024-03-03,KLEVV,DDR4,32GB,32,GB
記憶體 RAM,KLEVV(科賦) 16GB(雙通8GB*2) DDR4-3200 電競超頻 CRAS X RGB/CL16(1024*8),1499,2024-03-03,KLEVV,DDR4,16GB,16,GB
